,product_name,year_month_m,warehouse_inventory,inventory_cost_per_unit
105,Pelican Maverick 100X Kayak,201712,0,2.11183
106,Garmin Approach S4 Golf GPS Watch,201712,0,1.04738
107,Total Gym 1400,201712,0,2.00022
108,Garmin Forerunner 910XT GPS Watch,201712,0,0.23621
109,Titleist Club Glove Travel Cover,201712,0,1.37169
110,GoPro HERO3+ Black Edition Camera,201712,0,1.43061
111,Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94231
112,Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.3946
113,Stiga Master Series ST3100 Competition Indoor,201712,0,0.46527
114,SOLE E35 Elliptical,201712,1,0.36106
115,Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.22684
116,SOLE E25 Elliptical,201712,23,1.84297
117,Bowflex SelectTech 1090 Dumbbells,201712,36,1.49431
118,Perfect Fitness Perfect Rip Deck,201711,7,2.30448
119,Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628
120,O'Brien Men's Neoprene Life Vest,201711,0,1.96228
121,Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632
122,Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294
123,Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17278
124,Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.21846
125,Pelican Sunstream 100 Kayak,201711,0,0.17196
126,Diamondback Women's Serene Classic Comfort Bi,201711,0,0.60975
127,ENO Atlas Hammock Straps,201711,0,1.68268
128,Nike Men's Comfort 2 Slide,201711,0,1.03473
129,adidas Youth Germany Black/Red Away Match Soc,201711,0,1.15918
130,Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3009
131,LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.96918
132,adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95337
133,Glove It Women's Imperial Golf Glove,201711,0,0.87019
134,Glove It Imperial Golf Towel,201711,2,1.86995
135,Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.20461
136,Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.31714
137,Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37329
138,Under Armour Women's Ignite Slide,201711,0,0.29626
139,Team Golf Tennessee Volunteers Putter Grip,201711,0,0.83648
140,Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71236
141,Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.9268
142,Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.22572
143,Nike Women's Tempo Shorts,201711,0,0.95345
144,Team Golf Texas Longhorns Putter Grip,201711,0,2.1138
145,Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28022
146,Clicgear 8.0 Shoe Brush,201711,0,1.62205
147,Hirzl Women's Hybrid Golf Glove,201711,0,0.44146
148,Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59423
149,Top Flite Women's 2017 XL Hybrid,201711,0,0.75864
150,Glove It Urban Brick Golf Towel,201711,0,0.82516
151,Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.03676
152,TYR Boys' Team Digi Jammer,201711,0,1.2935
153,Team Golf San Francisco Giants Putter Grip,201711,0,0.31878
154,Clicgear Rovic Cooler Bag,201711,0,1.61228
155,Hirzl Men's Hybrid Golf Glove,201711,0,1.18082
156,Titleist Pro V1x Golf Balls,201711,0,1.57594
157,adidas Men's Germany Black Crest Away Tee,201711,0,0.36907
158,Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78277
159,Under Armour Women's Micro G Skulpt Running S,201711,0,0.95777
160,Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382
161,Under Armour Women's Ignite PIP VI Slide,201711,0,0.80255
162,Bag Boy Beverage Holder,201711,0,0.37946
163,Under Armour Men's Tech II T-Shirt,201711,0,0.24393
164,Team Golf New England Patriots Putter Grip,201711,0,0.70882
165,Under Armour Men's Compression EV SL Slide,201711,0,1.16109
166,Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.4111
167,Glove It Women's Mod Oval Golf Glove,201711,0,2.23179
168,Titleist Pro V1x High Numbers Golf Balls,201711,0,0.60281
169,Nike Women's Legend V-Neck T-Shirt,201711,0,1.51008
170,Under Armour Kids' Mercenary Slide,201711,0,2.04851
171,adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.26857
172,Children's heaters,201711,1,0.78152
173,Web Camera,201711,5,1.5434
174,Dell Laptop,201711,22,1.21721
175,Porcelain crafts,201711,36,0.54235
176,Sports Books,201711,26,1.46957
177,DVDs,201711,33,0.79126
178,Industrial consumer electronics,201711,0,1.80573
179,Fighting video games,201711,18,0.156
180,Summer dresses,201711,25,0.2102
181,Lawn mower,201711,8,0.27954
182,Adult dog supplies,201711,19,2.29154
183,Rock music,201711,2,0.73288
184,Elevation Training Mask 2.0,201711,0,0.19942
185,LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62155
186,Toys,201711,0,1.09646
187,Brooks Women's Ghost 6 Running Shoe,201711,0,0.34501
188,Bag Boy M330 Push Cart,201711,0,1.55828
189,Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53424
190,Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.7889
191,Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.37848
192,First aid kit,201711,0,2.29855
193,CDs of rock,201711,3,0.85409
194,Polar FT4 Heart Rate Monitor,201711,0,1.77867
195,LIJA Women's Argyle Golf Polo,201711,0,1.2768
196,TaylorMade White Smoke IN-12 Putter,201711,0,2.26641
197,Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56387
198,Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.66894
199,The North Face Women's Recon Backpack,201711,0,0.64597
200,Smart watch,201711,30,1.08703
201,Baby sweater,201711,10,0.30632
202,MDGolf Pittsburgh Penguins Putter,201711,0,1.19935
203,Men's gala suit,201711,5,1.20661
204,Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059
205,Garmin Approach S3 Golf GPS Watch,201711,0,1.21618
206,LIJA Women's Button Golf Dress,201711,0,1.44057
207,Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75228
208,Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97427
209,TaylorMade Women's RBZ SL Rescue,201711,0,0.37808
210,Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04173
211,TaylorMade 2017 Purelite Stand Bag,201711,0,0.23332
212,Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03187
213,adidas Brazuca 2017 Official Match Ball,201711,0,2.02978
214,Nike Men's Fingertrap Max Training Shoe,201711,0,0.5335
215,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909
216,Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.5749
217,Ogio Race Golf Shoes,201711,0,0.39652
218,insta-bed Neverflat Air Mattress,201711,0,1.65185
219,GolfBuddy VT3 GPS Watch,201711,0,1.46056
220,Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.07629
221,Titleist Small Wheeled Travel Cover,201711,0,0.77099
222,Polar Loop Activity Tracker,201711,1,1.0942
223,Pelican Maverick 100X Kayak,201711,0,1.63028
224,Garmin Approach S4 Golf GPS Watch,201711,0,2.32042
225,Total Gym 1400,201711,0,2.02645
226,Garmin Forerunner 910XT GPS Watch,201711,0,1.4785
227,Titleist Club Glove Travel Cover,201711,0,0.99194
228,GoPro HERO3+ Black Edition Camera,201711,0,0.70677
229,Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.32551
230,Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.95685
231,Stiga Master Series ST3100 Competition Indoor,201711,0,0.62974
232,SOLE E35 Elliptical,201711,6,1.20568
233,Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75316
234,SOLE E25 Elliptical,201711,24,2.00579
235,Bowflex SelectTech 1090 Dumbbells,201711,7,1.35111
236,Perfect Fitness Perfect Rip Deck,201710,2,2.28291
237,Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996
238,O'Brien Men's Neoprene Life Vest,201710,8,2.0023
239,Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385
240,Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668
241,Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156
242,Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.40466
243,Pelican Sunstream 100 Kayak,201710,0,2.03988
244,Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754
245,ENO Atlas Hammock Straps,201710,0,1.05987
246,Nike Men's Comfort 2 Slide,201710,0,0.97586
247,adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57212
248,Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36145
249,LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55363
250,adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24155
251,Glove It Women's Imperial Golf Glove,201710,0,0.14742
252,Glove It Imperial Golf Towel,201710,0,1.28418
253,Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.88873
254,Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17162
255,Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.2386
256,Under Armour Women's Ignite Slide,201710,0,1.56443
257,Team Golf Tennessee Volunteers Putter Grip,201710,0,2.11911
258,Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11361
259,Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44429
260,Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.2727
261,Nike Women's Tempo Shorts,201710,0,0.31513
262,Team Golf Texas Longhorns Putter Grip,201710,0,0.85579
263,Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68079
264,Clicgear 8.0 Shoe Brush,201710,0,0.75891
265,Hirzl Women's Hybrid Golf Glove,201710,0,2.0864
266,Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.21873
267,Top Flite Women's 2017 XL Hybrid,201710,2,2.03709
268,Glove It Urban Brick Golf Towel,201710,0,2.31327
269,Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82014
270,TYR Boys' Team Digi Jammer,201710,0,0.30068
271,Team Golf San Francisco Giants Putter Grip,201710,0,1.88387
272,Clicgear Rovic Cooler Bag,201710,0,2.14677
273,Hirzl Men's Hybrid Golf Glove,201710,0,2.18555
274,Titleist Pro V1x Golf Balls,201710,0,1.29717
275,adidas Men's Germany Black Crest Away Tee,201710,0,1.03461
276,Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.30144
277,Under Armour Women's Micro G Skulpt Running S,201710,0,1.17006
278,Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88358
279,Under Armour Women's Ignite PIP VI Slide,201710,0,0.23134
280,Bag Boy Beverage Holder,201710,0,0.14176
281,Under Armour Men's Tech II T-Shirt,201710,0,0.19946
282,Team Golf New England Patriots Putter Grip,201710,0,1.0851
283,Under Armour Men's Compression EV SL Slide,201710,0,0.10481
284,Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51056
285,Glove It Women's Mod Oval Golf Glove,201710,0,0.77133
286,Titleist Pro V1x High Numbers Golf Balls,201710,0,0.90062
287,Nike Women's Legend V-Neck T-Shirt,201710,0,1.48976
288,Under Armour Kids' Mercenary Slide,201710,0,1.3402
289,adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.85932
290,Children's heaters,201710,3,2.28254
291,Web Camera,201710,234,0.88759
292,Dell Laptop,201710,33,1.59011
293,Porcelain crafts,201710,39,1.99338
294,Sports Books,201710,58,2.03661
295,DVDs,201710,41,0.17026
296,Industrial consumer electronics,201710,5,0.67386
297,Fighting video games,201710,0,1.93933
298,Summer dresses,201710,0,1.95157
299,Lawn mower,201710,0,0.28382
300,Adult dog supplies,201710,0,1.58566
301,Rock music,201710,0,0.98812
302,Elevation Training Mask 2.0,201710,0,1.73172
303,LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51203
304,Toys,201710,0,1.73503
305,Brooks Women's Ghost 6 Running Shoe,201710,0,0.34837
306,Bag Boy M330 Push Cart,201710,0,1.52002
307,Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.35694
308,Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.14742
309,Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.67831
310,First aid kit,201710,0,0.92517
311,CDs of rock,201710,34,2.22295
312,Polar FT4 Heart Rate Monitor,201710,0,1.1344
313,LIJA Women's Argyle Golf Polo,201710,0,0.25182
314,TaylorMade White Smoke IN-12 Putter,201710,0,0.57951
315,Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.41727
316,Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77219
317,The North Face Women's Recon Backpack,201710,0,0.60513
318,Smart watch,201710,0,1.54556
319,Baby sweater,201710,27,1.52727
320,MDGolf Pittsburgh Penguins Putter,201710,1,0.74719
321,Men's gala suit,201710,0,1.0719
322,Merrell Men's All Out Flash Trail Running Sho,201710,0,1.34555
323,Garmin Approach S3 Golf GPS Watch,201710,4,1.83329
324,LIJA Women's Button Golf Dress,201710,0,2.2351
325,Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587
326,Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591
327,TaylorMade Women's RBZ SL Rescue,201710,0,0.41059
328,Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.96631
329,TaylorMade 2017 Purelite Stand Bag,201710,0,1.47356
330,Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31264
331,adidas Brazuca 2017 Official Match Ball,201710,2,0.85572
332,Nike Men's Fingertrap Max Training Shoe,201710,0,1.0038
333,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.6631
334,Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14424
335,Ogio Race Golf Shoes,201710,0,0.95115
336,insta-bed Neverflat Air Mattress,201710,0,0.13712
337,GolfBuddy VT3 GPS Watch,201710,0,1.8096
338,Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52272
339,Titleist Small Wheeled Travel Cover,201710,0,1.37731
340,Polar Loop Activity Tracker,201710,0,1.61345
341,Pelican Maverick 100X Kayak,201710,0,0.84104
342,Garmin Approach S4 Golf GPS Watch,201710,0,0.16798
343,Total Gym 1400,201710,0,2.13241
344,Garmin Forerunner 910XT GPS Watch,201710,2,0.53606
345,Titleist Club Glove Travel Cover,201710,0,2.32454
346,GoPro HERO3+ Black Edition Camera,201710,1,1.37089
347,Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012
348,Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528
349,Stiga Master Series ST3100 Competition Indoor,201710,0,1.30528
350,SOLE E35 Elliptical,201710,10,2.07893
351,Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82287
352,SOLE E25 Elliptical,201710,7,1.92174
353,Bowflex SelectTech 1090 Dumbbells,201710,10,2.32944
354,Perfect Fitness Perfect Rip Deck,201709,536,1.65666
355,Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767
356,O'Brien Men's Neoprene Life Vest,201709,150,0.91578
357,Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137
358,Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805
359,Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406
360,Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661
361,Pelican Sunstream 100 Kayak,201709,29,1.60905
362,Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535
363,ENO Atlas Hammock Straps,201709,0,1.35184
364,Nike Men's Comfort 2 Slide,201709,0,1.71565
365,adidas Youth Germany Black/Red Away Match Soc,201709,0,0.60725
366,Team Golf St. Louis Cardinals Putter Grip,201709,0,2.2529
367,LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.38791
368,adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79231
369,Glove It Women's Imperial Golf Glove,201709,0,1.71396
370,Glove It Imperial Golf Towel,201709,0,0.92872
371,Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.45655
372,Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.39589
373,Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04095
374,Under Armour Women's Ignite Slide,201709,0,1.22315
375,Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49377
376,Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42176
377,Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285
378,Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66305
379,Nike Women's Tempo Shorts,201709,0,1.92086
380,Team Golf Texas Longhorns Putter Grip,201709,0,1.0289
381,Hirzl Women's Soffft Flex Golf Glove,201709,0,2.13977
382,Clicgear 8.0 Shoe Brush,201709,0,1.71882
383,Hirzl Women's Hybrid Golf Glove,201709,0,0.18068
384,Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.37973
385,Top Flite Women's 2017 XL Hybrid,201709,4,0.76409
386,Glove It Urban Brick Golf Towel,201709,0,1.7704
387,Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.30814
388,TYR Boys' Team Digi Jammer,201709,0,0.71103
389,Team Golf San Francisco Giants Putter Grip,201709,0,1.72032
390,Clicgear Rovic Cooler Bag,201709,0,2.18041
391,Hirzl Men's Hybrid Golf Glove,201709,0,0.65849
392,Titleist Pro V1x Golf Balls,201709,0,1.4836
393,adidas Men's Germany Black Crest Away Tee,201709,0,2.10537
394,Titleist Pro V1 High Numbers Personalized Gol,201709,0,2.16276
395,Under Armour Women's Micro G Skulpt Running S,201709,0,0.19311
396,Under Armour Hustle Storm Medium Duffle Bag,201709,0,1.74441
397,Under Armour Women's Ignite PIP VI Slide,201709,0,2.00793
398,Bag Boy Beverage Holder,201709,1,0.60164
399,Under Armour Men's Tech II T-Shirt,201709,0,0.41537
400,Team Golf New England Patriots Putter Grip,201709,0,1.31945
401,Under Armour Men's Compression EV SL Slide,201709,0,0.36877
402,Bridgestone e6 Straight Distance NFL Tennesse,201709,0,1.19864
403,Glove It Women's Mod Oval Golf Glove,201709,0,0.34217
404,Titleist Pro V1x High Numbers Golf Balls,201709,0,0.94261
405,Nike Women's Legend V-Neck T-Shirt,201709,0,1.17867
406,Under Armour Kids' Mercenary Slide,201709,0,0.91376
407,adidas Kids' F5 Messi FG Soccer Cleat,201709,0,1.70442
408,Children's heaters,201709,2,2.17739
409,Web Camera,201709,15,1.88508
410,Dell Laptop,201709,2,0.92704
411,Porcelain crafts,201709,0,0.4288
412,Sports Books,201709,0,0.99432
413,DVDs,201709,2,2.22212
414,Industrial consumer electronics,201709,0,1.17657
415,Fighting video games,201709,0,0.63984
416,Summer dresses,201709,0,0.72677
417,Lawn mower,201709,0,0.47674
418,Adult dog supplies,201709,0,0.67386
419,Rock music,201709,0,2.17014
420,Elevation Training Mask 2.0,201709,3,1.28252
421,LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.82689
422,Toys,201709,0,1.86337
423,Brooks Women's Ghost 6 Running Shoe,201709,8,0.37901
424,Bag Boy M330 Push Cart,201709,4,1.39513
425,Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31175
426,Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.07699
427,Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.65839
428,First aid kit,201709,0,2.18083
429,CDs of rock,201709,1,0.87013
430,Polar FT4 Heart Rate Monitor,201709,8,1.12102
431,LIJA Women's Argyle Golf Polo,201709,4,1.50784
432,TaylorMade White Smoke IN-12 Putter,201709,0,1.33605
433,Fitbit The One Wireless Activity & Sleep Trac,201709,1,2.04271
434,Nike Kids' Grade School KD VI Basketball Shoe,201709,14,0.47433
435,The North Face Women's Recon Backpack,201709,1,0.95934
436,Smart watch,201709,0,1.26862
437,Baby sweater,201709,1,1.29588
438,MDGolf Pittsburgh Penguins Putter,201709,0,2.09891
439,Men's gala suit,201709,0,1.73888
440,Merrell Men's All Out Flash Trail Running Sho,201709,3,2.23425
441,Garmin Approach S3 Golf GPS Watch,201709,2,0.78309
442,LIJA Women's Button Golf Dress,201709,0,0.29808
443,Cleveland Golf Women's 588 RTX CB Satin Chrom,201709,0,1.89474
444,Merrell Women's Siren Mid Waterproof Hiking B,201709,2,0.1242
445,TaylorMade Women's RBZ SL Rescue,201709,4,1.1345
446,Mio ALPHA Heart Rate Monitor/Sport Watch,201709,3,0.60951
447,TaylorMade 2017 Purelite Stand Bag,201709,0,0.12471
448,Cleveland Golf Collegiate My Custom Wedge 588,201709,0,1.19893
449,adidas Brazuca 2017 Official Match Ball,201709,0,2.07119
450,Nike Men's Fingertrap Max Training Shoe,201709,2,2.23725
451,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201709,4,2.20668
452,Nike Men's Kobe IX Elite Low Basketball Shoe,201709,0,2.1592
453,Ogio Race Golf Shoes,201709,0,0.32396
454,insta-bed Neverflat Air Mattress,201709,0,1.86747
455,GolfBuddy VT3 GPS Watch,201709,3,0.94895
456,Merrell Women's Grassbow Sport Waterproof Hik,201709,0,2.12731
457,Titleist Small Wheeled Travel Cover,201709,0,2.07193
458,Polar Loop Activity Tracker,201709,3,1.21829
